1.912654e+05	5.087811e-08	2.165256e-08	1.049292e-06	9.692305e-02	9.099106e-02	5.062157e-13	-nan	-0.000000e+00	-nan
2.390698e+05	4.932215e-08	1.876717e-08	1.052632e-06	9.404449e-02	8.944639e-02	5.351274e-13	-nan	-0.000000e+00	-nan
2.868743e+05	5.016254e-08	2.586487e-08	1.086381e-06	9.332485e-02	8.885084e-02	9.432010e-13	-nan	-0.000000e+00	-nan
3.346309e+05	3.932276e-08	2.260542e-08	1.773199e-08	9.231736e-02	8.830035e-02	-1.799628e-13	-nan	-0.000000e+00	-nan
3.824353e+05	4.599045e-08	1.993462e-08	2.058443e-08	9.174165e-02	8.788980e-02	-1.298548e-12	-nan	-0.000000e+00	-nan
0.000000e+00	0.000000e+00	1.514282e-18	0.000000e+00	5.324488e-01	3.724434e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	6.491833e-08	2.816342e-08	9.592781e-07	3.965213e-02	2.336719e-02	-2.102997e-12	-nan	-nan	-nan
9.560882e+04	-nan	-nan	-nan	2.295650e-02	1.378183e-02	-nan	-nan	-nan	-nan
1.434132e+05	7.175861e-08	3.280390e-08	1.813535e-09	1.791902e-02	1.108272e-02	-2.095407e-12	-nan	-nan	-nan
1.912654e+05	7.635983e-08	3.567204e-08	9.321335e-07	1.432083e-02	8.804303e-03	-2.434797e-12	-nan	-nan	-nan
2.390698e+05	7.976173e-08	3.785120e-08	9.457040e-07	1.216191e-02	7.481974e-03	-2.981498e-12	-nan	-nan	-nan
2.868743e+05	7.828678e-08	3.532278e-08	9.536558e-07	1.072263e-02	6.564518e-03	-3.191753e-12	-nan	-nan	-nan
3.346309e+05	7.579569e-08	3.478695e-08	1.725307e-09	9.571205e-03	5.928205e-03	-4.061475e-12	-nan	-nan	-nan
3.824353e+05	7.789518e-08	3.576362e-08	1.739763e-09	8.995493e-03	5.681487e-03	-4.259504e-12	-nan	-nan	-nan
0.000000e+00	0.000000e+00	1.493321e-18	0.000000e+00	5.340321e-01	3.712629e-01	0.000000e+00	-nan	-0.000000e+00	-nan
0.000000e+00	0.000000e+00	1.503422e-18	0.000000e+00	5.340321e-01	3.756768e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	4.544497e-09	4.773145e-09	8.831994e-07	7.664160e-02	4.726482e-02	-2.663725e-16	-nan	-nan	-nan
9.560882e+04	4.755667e-09	5.236985e-09	1.213739e-10	4.461765e-02	2.796011e-02	1.897469e-15	-nan	-nan	-nan
1.434132e+05	4.914705e-09	5.670982e-09	1.323274e-10	3.274359e-02	2.011706e-02	5.615386e-15	-nan	-nan	-nan
1.912654e+05	4.878278e-09	5.875035e-09	9.090710e-07	2.641077e-02	1.602089e-02	-5.641672e-16	-nan	-nan	-nan
2.390698e+05	4.955818e-09	6.039262e-09	9.116882e-07	2.252471e-02	1.360074e-02	-7.480937e-15	-nan	-nan	-nan
2.868743e+05	4.864275e-09	6.164344e-09	8.939034e-07	1.928634e-02	1.190073e-02	-1.732929e-15	-nan	-nan	-nan
3.346309e+05	4.874535e-09	6.317704e-09	1.376320e-10	1.748724e-02	1.068422e-02	-9.654418e-15	-nan	-nan	-nan
3.824353e+05	4.938143e-09	6.121796e-09	1.262753e-10	1.604796e-02	9.990599e-03	-9.093755e-15	-nan	-nan	-nan
0.000000e+00	0.000000e+00	1.516660e-18	0.000000e+00	5.330246e-01	3.718226e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	6.122525e-04	2.782443e-04	9.870256e-06	1.238376e-01	1.078647e-01	7.703178e-04	-nan	-0.000000e+00	-nan
9.560882e+04	1.838713e-04	1.271582e-04	5.008001e-06	2.331632e-02	1.403538e-02	1.189590e-04	-nan	-nan	-nan
1.434132e+05	5.724033e-08	2.201196e-08	2.347119e-09	1.698349e-02	1.005360e-02	1.757596e-13	-nan	-nan	-nan
1.912654e+05	6.064814e-08	2.250646e-08	8.845824e-07	1.424886e-02	8.337634e-03	1.821441e-14	-nan	-nan	-nan
2.390698e+05	6.422391e-08	2.334377e-08	8.768403e-07	1.237780e-02	7.346703e-03	-3.429258e-14	-nan	-nan	-nan
2.868743e+05	6.830852e-08	2.465998e-08	8.669452e-07	1.079459e-02	6.486351e-03	-5.105220e-14	-nan	-nan	-nan
3.346309e+05	7.310057e-08	2.620190e-08	2.413388e-09	9.355313e-03	5.454084e-03	-3.295449e-14	-nan	-nan	-nan
3.824353e+05	7.932252e-08	2.295408e-08	2.553418e-09	7.628178e-03	4.337266e-03	1.174933e-12	-nan	-nan	-nan
0.000000e+00	0.000000e+00	1.501417e-18	0.000000e+00	5.309376e-01	3.705775e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	7.001539e-07	3.644540e-07	8.372991e-07	5.309376e-01	3.705826e-01	4.390105e-11	0.000000e+00	-0.000000e+00	4.390105e-11
0.000000e+00	0.000000e+00	1.523761e-18	0.000000e+00	5.323769e-01	3.709889e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	2.328198e-04	6.820206e-06	9.534235e-07	3.756518e-02	2.132454e-02	-8.069435e-06	-nan	-nan	-nan
9.560882e+04	-nan	-nan	-nan	2.346025e-02	1.291528e-02	-nan	-nan	-nan	-nan
